command,intent
I wan sned money to Musa please,send_money
I wan buy data bundel,buy_data
Abeg send 1000 naira give my broda shrap sharp,send_money
Abeg what is the weather ofrecast abeg,check_weather
abeg recharge my data witth N2000 na,buy_data
Cancel this one,stop_action
Please abeg buy Airtel daat bundle please,buy_data
oga ring Aunty Bisi o,call_contact
Abeg buy credit give me abeg,buy_airtime
oga please guide me abeg,help_request
Oga gimme Wizkid please,play_music
Biko stop am na,stop_action
connect me to Blessing,call_contact
Please bring up the browser jare,open_app
Abeg I wan sed money to Aunty Bisi,send_money
biko abeg I need help jare,help_request
Biko set reminder for church offering before 12,set_reminder
please dial Blessing's number,call_contact
Top up my data pan please,buy_data
Biko how much I get for my account jare,check_balance
hello there abeg,greeting
Biko load 10k credit for my phone,buy_airtime
call Ngozi abeg,call_contact
"please I no understand, help me jare",help_request
Oga hope you dey fine,greeting
Abg stop the music please,stop_action
biko wetin be the weatther like,check_weather
Oga abeg buy credit ggive me please,buy_airtime
abeg top up my MTN line with 5000 nnaira jre,buy_airtime
Oga send 3000 naira give my broda na,send_money
open settings plaese,open_app
biko abeg stop jare,stop_action
I wan buy recharge card of 3000 naira abeg,buy_airtime
hoep you dey fine,greeting
Biko buy 10k airtime for me o,buy_airtime
ogod afternoon please,greeting
please please guide me,help_request
Abeg remind me make I pay church offering next week o,set_reminder
oga abeg stop na,stop_action
please I wan hear fuji music,play_music
Oga abeg call Kemi for me,call_contact
"Pleaes I no unerstand, help me abeg",help_request
cancel that action are,stop_action
Cancel that action na,stop_action
Abeg set reminder for electriciy bll on Monday,set_reminder
oga transfer 5000 naira to Uncle Femi o,send_money
biko how you dey abeg,greeting
Please buy 1000 naira aitime for me,buy_airtime
Oga what is my current balance,check_balance
Abeg abeg buy MTN ata bundle o,buy_data
transfer 20k to Aunty Bisi,send_money
Check my balance o,check_balance
biko good morning o,greeting
set a reminder for me by 6am,set_reminder
balance chck abeg abeg,check_balance
biko start yuotube jare,open_app
abeg what is my current balance,check_balance
oga I wan set alarm to remembeer shop rent please,set_reminder
please remind me make I pay DSTV subscription this evening,set_reminder
open camera,open_app
please e go rain today? o,check_weather
Oga abeg stop o,stop_action
Abeg sned N2000 ggive Musa o,send_money
please e go rain today? please,check_weather
biko bring up camera please,open_app
Please load internet data for my phone abeg,buy_data
send 10k give my oga o,send_money
Please launh whatsapp o,open_app
I wan know how much dey my account abeg,check_balance
abeg don't make me forget water bill by 5 o''clock o,set_reminder
top up my Glo line with 20k na,buy_airtime
Oga abeg tell me the ewather na,check_weather
put on highlife abeg,play_music
Oga e go rain todya? o,check_weather
Biko aunch gallery na,open_app
oga what is the weather forecast,check_weather
I neeed assisance abeg,help_request
oga I wan buy recharge card of 3000 naira,buy_airtime
Lease halt,stop_action
how you dey jjare,greeting
abeg don't make me forget water billl next weeek na,set_reminder
Check weather for me please,check_weather
biko hceck my baalance,check_balance
Make transfer of 50 naira go Grace na,send_money
Oga help me abeg,help_request
Will rain fall today na,check_weather
Please top up my data plan na,buy_data
Show me calculator na,open_app
Oga I wan hear highlife,play_music
godo afternoon,greeting
Abeg buy Airtel data bndle jare,buy_data
Please stop am jare,stop_action
remind me make I pay light bill by weekend please,set_reminder
I wan call my sista,call_contact
abeg load 5000 naira credti for my phoe jare,buy_airtime
transefr 2k to Blessing,send_money
please connect me to Tunde jare,call_contact
I wan send money to Chnedu na,send_money
Abeg connect me to Chinedu abeg,call_contact
Please I wan set larm to remember water bill o,set_reminder
abeg send 500 naira give Chidi sharp sharp,send_money
Oga abeg check my account balance,check_balance
Open camera na,open_app
Balance check baeg o,check_balance
make transfer of 10k go Blessing abeg,send_money
Biko top up my dtaa plan,buy_data
Please how the weather be today,check_weather
Oppen instagram,open_app
Abeg buy ddata for me jare,buy_data
please abeg check my account balance abeg,check_balance
Oga bring up the rowser na,open_app
I wan set alarm to remember wter bill jrae,set_reminder
Abg buy Glo data bundle,buy_data
abeg cancel this one abeg,stop_action
buy N500 daa on 9mobile for me pelase,buy_data
please how the weather be tdoay,check_weather
Aabeg connect me to Musa,call_contact
Please phone my guy now,call_contact
Remind me make I pay church offering next week please,set_reminder
abeg hello three please,greeting
Aebg top up my data plan,buy_data
abeg I wan hear Burna Boy na,play_music
please I wan hear gospel song na,play_music
abeg I wan use the brower abeg,open_app
abeg help me abeg aebg,help_request
please remind me to pay school fees na,set_reminder
I need assistance,help_request
Biko how much money I get now are,check_balance
